Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
11.98230,20.91492,22.66040,6.95516,8.11607
12.03423,20.61109,43.24625,7.07068,15.20594
12.09723,20.40699,63.63637,7.11399,22.32710
12.13607,20.29861,83.92604,7.11340,29.44040
12.19461,20.23254,104.15317,7.07958,36.51443
12.22011,20.23254,124.38571,7.07958,43.59402
12.24200,20.20032,144.58340,7.05372,50.64351
12.28086,20.18932,155.18842,7.02722,57.66641
12.32976,20.16781,155.16607,7.02085,64.68623
12.36679,20.16781,155.16781,7.02085,71.70708
12.39027,20.14569,155.14391,7.01379,78.71973
12.41608,20.14569,155.14569,7.01379,85.73353
12.45284,20.12895,155.12761,6.98687,92.71607
12.49539,20.10738,155.10566,6.95336,99.66407
12.52446,20.10738,155.10738,6.95336,106.61743
12.56779,20.05766,155.05371,6.93329,113.54752
12.58954,20.02036,155.01739,6.92021,120.46566
12.63083,20.02036,155.02036,6.92021,127.38587
12.65951,19.99828,154.99654,6.93958,134.32851
12.68370,19.99350,154.99312,6.94691,141.27657
12.72038,19.99350,154.99350,6.94691,141.94691
12.76465,20.00957,155.01083,6.94667,141.94663
12.80683,20.00974,155.00976,6.93963,141.93854
12.83068,20.00974,155.00974,6.93963,141.93963
12.85582,19.97096,154.96794,6.93276,141.93169
12.89926,19.82729,154.81615,6.95226,141.95529
12.92459,19.82729,154.82729,6.95226,141.95226
12.95142,19.60844,154.59154,6.98372,141.98857
13.03300,19.25207,154.22473,6.89386,141.88007
13.10405,19.09234,154.08015,6.75747,141.73665
13.14215,19.09234,154.09234,6.75747,141.75747
13.16652,19.05330,154.05033,6.70476,141.69675
13.21193,19.02498,154.02284,6.67226,141.66735
13.24989,19.02549,154.02553,6.70570,141.71075
13.28987,19.01962,154.01917,6.75287,141.75997
13.32810,19.01962,154.01962,6.75287,141.75287
13.35146,19.02575,154.02621,6.75940,141.76037
13.41415,19.03057,154.03093,6.72637,141.72145
13.44049,19.03057,154.03057,6.72637,141.72637
13.46428,19.03606,154.03646,6.69333,141.68842
13.50755,19.01367,154.01201,6.65352,141.64763
13.53467,19.01367,154.01367,6.65352,141.65352
13.56188,18.98589,153.98384,6.64604,141.64493
13.60578,18.95247,153.95001,6.64041,141.63958
13.63072,18.95247,153.95247,6.64041,141.64041
13.65533,18.94150,153.94070,6.61999,141.61700
13.69583,18.93554,153.93511,6.60633,141.60434
13.73166,18.93554,153.93554,6.60633,141.60633
13.75767,18.94084,153.94123,6.60682,141.60689
13.79645,18.94084,153.94084,6.60682,141.60682
13.82248,18.94084,153.94084,6.60682,141.60682
13.86757,18.88059,153.87624,6.61374,141.61474
13.91003,18.68794,153.67409,6.66553,141.67298
13.93835,18.68794,153.68794,6.66553,141.66553
15.11931,20.14593,155.24236,7.01359,142.05963
15.16190,20.45792,155.47850,7.13639,142.15258
15.19834,20.45792,155.45792,7.13639,142.13639
15.21969,20.72015,155.73738,7.23772,142.25103
15.25872,20.88315,155.89384,7.32302,142.33420
15.29482,20.88315,155.88315,7.32302,142.32302
15.31466,21.01678,156.02550,7.42353,142.43666
15.35525,21.14536,156.15374,7.54376,142.55942
15.38725,21.14536,156.14536,7.54376,142.54376
