Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
2.45312,7.32361,-7.32361,-9.56688,-6.73338
2.99380,-0.60184,-6.95816,-9.47814,-11.56425
4.33541,-0.75644,-6.26356,-13.75297,-19.06950
4.46550,-2.85019,-3.62981,-12.77859,-25.36019
4.59499,-5.15181,1.37181,-12.23149,-31.43621
4.72554,-6.70492,8.05492,-11.73984,-37.31790
4.84765,-4.02897,11.85897,-10.47643,-42.54790
5.21522,5.96743,5.64257,-10.09845,-47.67299
5.34061,5.22423,0.17577,-10.27944,-52.85666
5.46513,1.39969,-1.39969,-10.40502,-58.13400
5.59525,-3.50967,1.88967,-10.36291,-63.31769
5.71303,-5.91988,7.53988,-10.24584,-68.47267
5.83683,-6.72829,14.01829,-10.26535,-73.71435
5.96598,-2.70254,16.47254,-10.30244,-78.95433
6.21187,7.14080,9.32920,-10.60685,-84.34793
6.33601,9.05278,0.12722,-10.51292,-89.66905
6.70031,-4.78824,4.78824,-10.42462,-90.00000
6.82569,-5.19448,9.78448,-10.33695,-90.00000
6.94929,-4.34456,14.06456,-10.36550,-90.00000
7.31196,6.32769,7.71231,-10.56403,-90.00000
7.44521,6.71258,0.84742,-10.47421,-90.00000
7.57164,3.32217,-2.51217,-10.44282,-90.00000
7.81106,-5.73780,3.03780,-10.32171,-90.00000
7.93136,-7.44762,10.41762,-10.33440,-90.00000
8.05433,-5.95400,16.21400,-10.33401,-90.00000
8.40219,8.99139,7.20861,-10.41022,-90.00000
8.54308,9.45925,-2.43925,-10.27377,-90.00000
8.89525,-6.54886,3.84886,-10.12557,-90.00000
9.01950,-7.35102,11.13102,-10.11362,-90.00000
9.13928,-5.03626,16.10626,-9.93121,-90.00000
9.40579,6.87700,9.05300,-9.94685,-90.00000
9.52687,9.00681,-0.09681,-10.08183,-90.00000
9.88367,-4.42754,4.15754,-9.94319,-90.00000
10.03958,-4.95832,9.00832,-9.91426,-90.00000
10.18155,-3.03548,11.94548,-9.99097,-90.00000
10.30621,0.79824,11.08176,-10.00701,-90.00000
10.44520,4.17760,6.89240,-9.95117,-90.00000
10.56972,4.84748,1.90252,-9.95372,-90.00000
10.69552,3.09353,-1.20353,-9.96980,-90.00000
10.94192,-4.40109,3.05109,-9.88269,-90.00000
11.06437,-5.38763,8.35763,-9.83991,-90.00000
11.19232,-4.28543,12.38543,-9.87483,-90.00000
11.44014,4.09156,8.05844,-9.92295,-90.00000
11.60984,6.00329,1.82671,-9.99608,-90.00000
11.73509,3.49619,-1.87619,-9.96922,-90.00000
11.97380,-4.31784,2.42784,-9.84021,-90.00000
12.09912,-5.88366,8.04366,-9.87243,-90.00000
12.22185,-4.90089,12.73089,-9.88604,-90.00000
12.36418,-0.56388,13.25388,-9.85365,-90.00000
12.56420,5.26767,7.96233,-10.02629,-90.00000
12.71123,7.48847,0.34153,-10.00724,-90.00000
12.85214,4.47404,-4.20404,-9.97033,-90.00000
13.12171,-6.26478,1.94478,-9.85280,-90.00000
13.31499,-7.87990,9.76990,-9.79698,-90.00000
13.45349,-4.81475,14.53475,-9.88413,-90.00000
13.72106,6.51724,7.79276,-9.92173,-90.00000
13.84491,9.10661,-1.54661,-9.96041,-90.00000
13.97166,5.41547,-7.03547,-9.99059,-90.00000
14.33334,-10.22305,2.93305,-9.87087,-90.00000
14.45793,-10.23212,12.93212,-9.88237,-90.00000
14.81627,5.90880,6.78120,-9.79976,-90.00000
14.93821,7.15503,-0.40503,-9.87450,-90.00000
15.06435,4.34450,-4.88450,-9.90927,-90.00000
15.20178,-2.12240,-3.00760,-9.81831,-90.00000
15.33037,-6.71607,3.47607,-9.81364,-90.00000
15.45974,-7.39635,10.63635,-9.73684,-90.00000
15.81352,4.38867,6.14133,-9.84802,-90.00000
15.93646,5.40772,0.53228,-9.76897,-90.00000
16.06267,3.03824,-2.76824,-9.77157,-90.00000
16.30129,-4.77777,1.80777,-9.78036,-90.00000
16.44301,-6.20566,7.82566,-9.76449,-90.00000
16.57369,-4.63585,12.19585,-9.72177,-90.00000
16.93070,6.75756,5.39244,-9.78332,-90.00000
17.06214,7.27602,-2.14602,-9.84219,-90.00000
17.42456,-5.17984,3.01984,-9.84091,-90.00000
17.55546,-5.45964,8.42964,-9.76483,-90.00000
17.68633,-3.66573,12.03573,-9.72384,-90.00000
17.93717,5.06295,6.81705,-9.75772,-90.00000
18.05902,6.56565,0.18435,-9.78322,-90.00000
18.18457,4.99521,-4.99521,-9.69480,-90.00000
18.53948,-7.49772,2.36772,-9.54033,-90.00000
18.66576,-7.92758,10.08758,-9.55403,-90.00000
19.02026,3.76197,6.22803,-9.51472,-90.00000
19.13959,4.92162,1.28838,-9.61869,-90.00000
19.27534,3.41252,-2.33252,-9.60851,-90.00000
19.40283,-0.56940,-1.86060,-9.58311,-90.00000
19.52469,-4.24110,2.35110,-9.50688,-90.00000
19.65213,-4.74193,6.90193,-9.52330,-90.00000
19.77524,-3.73740,10.48740,-9.61393,-90.00000
19.91311,0.05262,10.20738,-9.61124,-90.00000
20.03418,4.27940,5.71060,-9.68115,-90.00000
20.17989,5.05129,0.61871,-9.74038,-90.00000
20.30334,2.91476,-2.37476,-9.74190,-90.00000
20.45216,-1.38591,-1.04409,-9.76069,-90.00000
20.57259,-4.33060,3.25060,-9.67703,-90.00000
20.69824,-4.92940,8.16940,-9.64311,-90.00000
20.83381,-3.58012,11.68012,-9.79373,-90.00000
20.98038,2.04596,9.56404,-9.77422,-90.00000
21.11133,6.02185,3.42815,-9.75324,-90.00000
21.23976,6.69364,-3.45364,-9.76794,-90.00000
21.60848,-5.81060,2.30060,-9.72088,-90.00000
21.79181,-6.37161,8.53161,-9.72162,-90.00000
21.96985,-2.90185,11.27185,-9.67366,-90.00000
22.09701,1.70731,9.36269,-9.73401,-90.00000
22.23327,5.23301,3.94699,-9.75517,-90.00000
22.37269,5.92410,-2.14410,-9.79898,-90.00000
22.50219,2.00536,-4.16536,-9.84755,-90.00000
22.62927,-3.36293,-0.95707,-9.73010,-90.00000
22.75181,-5.39082,4.31082,-9.73361,-90.00000
22.88242,-6.31416,10.36416,-9.68969,-90.00000
23.01619,-2.63246,12.89246,-9.64256,-90.00000
23.26603,6.77895,5.91105,-9.73775,-90.00000
23.38793,7.87861,-2.20861,-9.69151,-90.00000
23.75426,-4.36195,1.93195,-9.58795,-90.00000
23.88406,-4.95581,6.84581,-9.50675,-90.00000
24.03271,-3.75040,10.50040,-9.55227,-90.00000
24.22127,0.64813,9.61187,-9.55206,-90.00000
