Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
11.99109,-9.35933,5.06993,-9.99546,-3.24871
12.11024,-6.84909,8.18090,-8.15267,-5.82015
12.34331,2.91746,6.24565,-2.62885,-6.59440
12.47855,6.64199,2.73977,-2.85862,-7.52311
12.60505,6.90397,-0.76238,-3.18789,-8.52420
12.95589,-5.07252,2.18846,-1.93955,-9.19296
13.09386,-5.26519,4.79995,-1.96594,-9.95039
13.21996,-5.26523,7.22262,-1.84173,-10.62970
13.33926,-3.90023,8.91895,-0.79715,-11.01565
13.46115,-1.63830,9.64513,-0.36459,-11.25974
13.58641,1.24821,8.71967,-0.38671,-11.45650
13.70607,3.27350,6.92937,-0.23005,-11.58559
13.82918,3.60656,4.93468,-0.24270,-11.77309
13.95903,3.28478,3.22913,-0.27331,-11.96265
14.08655,1.09385,2.50084,0.03940,-12.04152
14.20801,-1.27869,3.15284,-0.02669,-12.06940
14.32705,-1.87246,3.92695,-0.12152,-12.27844
14.44776,-1.86598,4.71277,0.06942,-12.39521
14.56542,-1.86598,5.52299,0.06942,-12.39917
14.69089,-1.82012,6.30850,-0.01157,-12.42513
14.81320,-1.46958,6.93296,-0.01056,-12.60315
14.93481,0.02322,6.68841,-0.10436,-12.81319
15.07457,0.00380,6.47875,0.33135,-12.85193
15.20679,0.04538,6.18594,0.28360,-12.87586
15.32838,0.03263,5.92410,0.26870,-12.87968
15.45096,0.13928,5.59691,0.30340,-12.86831
15.57068,0.12713,5.33682,0.25275,-12.88515
15.69662,0.09849,5.08166,0.19343,-12.90310
15.82560,0.02678,4.84888,0.11537,-12.92687
15.95117,0.01344,4.58370,0.02080,-12.95554
16.07573,0.02542,4.30692,-0.08741,-12.98824
16.44125,-15.50323,12.27386,-1.91164,-13.74678
16.57962,-18.89560,21.70011,-2.56335,-14.64080
16.70035,-16.08272,29.55714,-2.27637,-15.43776
17.05125,-0.21072,29.06994,-1.14307,-15.80298
17.17292,1.10323,28.30013,-1.34482,-16.24697
17.30100,1.18056,27.48749,-0.88235,-16.63669
17.42742,1.06380,26.74145,0.53124,-16.55630
17.55123,0.87306,26.29890,3.06930,-15.59583
17.67054,0.07693,26.17406,5.98090,-13.81630
17.79152,-1.12521,26.51639,9.20916,-11.04282
17.91032,-1.27247,27.10034,10.01810,-8.14102
18.05031,-1.46832,27.73959,9.26264,-5.51376
18.18302,-1.48370,28.28227,7.82388,-3.25657
18.30729,-1.44668,28.80233,5.57570,-1.78413
18.43431,-1.69431,29.47387,3.60516,-0.75052
18.59217,-1.98376,30.42966,1.42846,-0.50658
18.71337,-1.51566,30.98532,0.18942,-0.50304
18.83637,0.02739,30.72534,0.12320,-0.50409
18.96708,0.14243,30.43575,-0.12545,-0.58157
19.09671,0.15669,30.16128,-0.21993,-0.78746
19.22384,0.15669,29.89165,-0.28212,-0.98561
19.34379,0.15528,29.62240,-0.39049,-1.19883
19.47503,0.12652,29.36748,-0.51499,-1.41642
19.60394,0.21196,29.05184,-0.65437,-1.63844
19.73279,1.85159,27.92266,-1.47565,-2.25518
20.22024,26.68316,13.85439,-4.75441,-3.81497
20.33874,25.15182,1.23174,-4.48273,-5.30081
20.70048,-2.18426,2.83241,-1.41638,-5.78047
20.82309,-3.53827,4.50165,-1.48094,-6.38521
20.94558,-3.65325,6.14937,-0.88934,-6.73833
21.31676,-0.36257,6.04410,0.12052,-6.78963
21.44138,-0.39103,6.13618,-0.02042,-6.84810
21.57546,-0.42038,6.15087,-0.00389,-7.02094
21.72462,-0.44894,6.16513,-0.05146,-7.21609
21.87053,-0.56455,6.22492,-0.11365,-7.41495
24.08980,-2.30093,7.39650,-18.08727,-13.21001
24.21980,-1.97444,8.27048,-17.45135,-18.54753
24.33974,-2.64585,9.43672,-10.90333,-21.91029
24.47244,-3.50758,10.95140,-4.82125,-23.33182
24.59659,-1.86480,11.69901,-1.35137,-23.76309
24.71923,-0.48472,11.82445,0.05348,-23.90691
24.83902,0.75145,11.20939,0.74730,-23.70743
24.98851,0.76933,10.68497,0.83168,-23.50948
25.10979,0.70659,10.17795,0.54480,-23.41999
25.22970,0.64764,9.66735,0.46815,-23.44047
25.36699,0.62121,9.13992,0.45195,-23.44461
25.51684,0.51693,8.65358,0.37360,-23.46884
25.64158,-0.39909,8.85741,0.44314,-23.44624
26.13845,-1.02501,9.16448,0.37357,-23.46873
26.26145,-0.95442,9.38587,0.45283,-23.44325
26.70029,-1.02520,9.69392,0.46689,-23.43977
26.82435,-1.14289,10.02364,0.60735,-23.39622
26.96329,-1.06991,10.52360,0.60671,-23.21799
27.08925,-1.50710,11.02162,0.73254,-22.99884
27.58590,-21.46918,21.89641,3.77677,-21.87386
27.70524,-22.26468,33.01670,3.85213,-20.80355
28.07448,-2.04428,33.60202,3.19284,-19.92919
28.19522,-0.78428,33.84979,3.17542,-19.02756
28.33418,-0.67843,34.08735,2.11610,-18.45639
28.45405,0.68731,33.65235,1.32836,-18.14980
28.57971,0.94679,33.00207,1.13917,-17.84023
28.70190,0.93449,32.47297,0.59476,-17.82726
28.82506,0.79996,32.00235,0.05247,-17.98990
28.95722,0.79994,31.46003,-0.04057,-18.01314
29.09597,0.98973,30.82187,0.12874,-18.13963
29.23651,-0.50561,31.05838,5.69228,-16.41523
29.36437,-4.87302,33.56087,11.70951,-12.98567
29.49170,-6.20403,36.60458,11.80813,-9.59656
29.61800,-7.53067,40.23773,9.09559,-7.01880
29.74271,-7.02340,43.73317,4.92257,-5.58532
29.87198,-4.49883,45.67716,1.72122,-5.27579
30.12195,1.64952,44.70318,-1.27014,-5.81083
30.25156,2.68187,43.19200,-1.40649,-6.36330
30.38217,2.80995,41.52292,-1.42203,-6.90676
30.51631,2.89885,39.85912,-1.50047,-7.47091
30.63981,0.98547,39.22849,-1.52137,-8.01662
30.76290,-0.83588,39.59754,-1.50407,-8.55105
31.26041,-0.65928,39.74681,0.21963,-8.55757
31.38580,-0.57065,39.97392,0.03280,-8.63195
31.52056,-0.01746,39.95996,-0.80317,-8.88891
31.65166,1.76942,38.77706,-4.04077,-10.24292
31.79488,3.78232,36.68718,-8.66425,-12.90290
31.93262,4.71015,34.08040,-10.65306,-16.17460
32.05731,2.62774,32.73861,-8.25850,-18.65514
32.19258,-0.26755,32.84875,-5.15618,-20.23794
32.32375,-2.66170,34.03788,-2.54384,-21.07891
32.58210,-3.60020,35.83450,0.30109,-21.12348
32.71266,-3.64624,37.46382,0.58255,-21.06265
32.90047,-3.68904,39.10517,0.64337,-21.04643
33.03952,-1.28097,39.48404,0.65968,-20.86195
33.17197,0.18333,39.30626,0.57960,-20.70684
33.29615,0.78994,38.74592,0.51712,-20.72543
