Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
4.27142,10.58615,-10.58615,-16.25516,-16.25516
4.40284,7.77494,-18.57494,-17.08732,-33.46732
4.53001,3.56678,-22.19678,-0.50712,-33.98712
4.78895,-0.90762,-21.50238,18.71785,-15.30215
4.92813,-2.32852,-19.27148,18.50684,3.02684
5.99586,-3.26771,-16.17229,-17.48278,-14.60278
6.26840,-4.62224,-11.57776,8.99420,-5.76580
6.39191,-4.30695,-7.30305,9.98807,4.04807
6.51599,-4.72421,-2.83579,2.36625,6.32625
6.63489,-4.76149,1.79149,-9.29341,-2.99341
6.79200,-4.48327,6.10327,-12.34027,-15.40027
6.91722,-4.69099,10.63099,-5.04004,-20.52004
7.04152,-4.50375,15.03375,8.21101,-12.48899
7.17625,-4.53038,19.38038,13.10358,0.50358
7.29996,-4.75093,23.92093,6.91932,7.27932
7.42733,-5.08346,28.84346,-6.47518,0.72482
7.67478,-5.17750,33.79750,-9.37440,-8.65440
7.79297,-5.19938,38.94938,-10.22466,-19.04466
7.92021,-4.89647,43.77647,0.02698,-19.05302
8.03904,-5.44607,49.18607,11.01348,-8.06652
8.16212,-5.42066,54.56066,11.42164,3.32164
8.29048,-5.97514,60.51514,1.56033,4.80033
8.64706,-5.44581,65.92581,-13.04644,-8.36644
8.76503,-3.57475,69.45475,-13.93218,-22.39218
8.89468,-1.27984,70.66984,-2.68085,-25.18085
9.17898,3.84936,66.62064,14.34255,-10.85745
9.29818,4.19759,62.22241,13.42420,2.44420
9.43168,2.90262,59.19738,1.91999,4.25999
9.55851,2.54748,56.58252,-11.70660,-7.56660
9.68490,2.45863,53.97137,-13.86533,-21.60533
9.80326,1.69159,52.03841,-1.32156,-23.10156
9.93161,1.50546,50.33454,14.03064,-9.18936
10.05404,0.81767,49.40233,17.06166,7.70166
10.20122,-0.60762,49.74762,5.84570,13.40570
11.21285,-0.83493,50.51493,-16.47887,-3.15887
11.33601,-3.98652,54.47652,-16.35379,-19.59379
11.46547,-6.43022,60.70022,-7.57200,-27.19200
11.60577,-7.24780,67.72780,5.75807,-21.60193
11.86957,-6.67865,74.17865,11.14941,-10.63059
11.99314,-6.59688,80.57688,12.28929,1.48929
12.23438,-6.51358,86.97358,-10.36428,-8.92428
12.35436,-6.49913,93.43913,-11.15684,-20.15684
12.48649,-6.62079,100.04079,1.28963,-18.87037
12.85471,-19.49464,119.39464,11.15987,-7.74013
13.21225,-7.39862,126.73862,10.25881,2.33881
13.33290,-7.51079,134.14079,9.63569,11.79569
13.70697,-7.80317,135.00000,-11.14493,0.55507
13.82448,-7.90670,135.00000,-11.05003,-10.51003
13.94333,-8.10685,135.00000,-0.95362,-11.57362
14.07855,-8.12541,135.00000,9.67676,-2.02324
14.19435,-8.08524,135.00000,11.79874,9.63874
14.43169,-8.28750,135.00000,-7.94788,1.59212
14.55151,-8.42882,135.00000,-9.05627,-7.61627
14.79151,-8.28910,135.00000,6.46730,-1.27270
14.93206,-8.14744,135.00000,7.69747,6.25747
15.06266,-8.30899,135.00000,2.74612,8.86612
15.29626,-8.35744,135.00000,-9.34316,-0.52316
15.41822,-8.41287,135.00000,-8.63238,-9.17238
15.54049,-8.49058,135.00000,-0.86624,-10.04624
15.66473,-8.44888,135.00000,8.58522,-1.49478
15.80286,-8.49363,135.00000,9.82076,8.20076
17.01688,-7.51307,135.00000,-15.68887,-7.58887
17.13590,-7.40362,135.00000,-12.08101,-19.82101
17.25613,-8.86239,135.00000,4.39044,-15.58956
17.62008,-11.92316,135.00000,10.15023,-5.50977
17.74697,-11.93484,135.00000,9.99773,4.41773
17.87429,-11.76343,135.00000,0.90725,5.22725
17.99420,-12.39981,135.00000,-9.91874,-4.69874
18.11847,-12.64137,135.00000,-11.41286,-16.27286
18.24076,-12.42362,135.00000,-3.27876,-19.65876
18.49637,-12.45261,135.00000,13.67961,-6.12039
18.61685,-12.65951,135.00000,14.29807,7.99807
18.74564,-12.89255,135.00000,2.94951,10.86951
18.86179,-13.10581,135.00000,-12.60679,-1.80679
19.09572,-13.31705,135.00000,-5.94720,-7.92720
19.21271,-13.12535,135.00000,-4.85384,-12.95384
19.44861,-13.24518,135.00000,7.08693,-5.87307
19.57082,-13.19034,135.00000,6.90099,0.96099
19.69562,-13.20936,135.00000,2.74795,3.64795
20.05883,-13.48711,135.00000,-8.95025,-5.35025
20.18735,-13.48416,135.00000,-9.02667,-14.42667
20.31266,-13.47404,135.00000,-1.86159,-16.44159
20.45003,-13.78341,135.00000,8.53002,-8.02998
20.57718,-13.85503,135.00000,11.37723,3.27723
20.70562,-13.92724,135.00000,5.26593,8.50593
21.06692,-14.13548,135.00000,-13.59480,-5.13480
21.20983,-14.01267,135.00000,-13.82689,-19.04689
21.56744,-14.43605,135.00000,14.32558,-4.75442
21.68956,-14.52350,135.00000,14.52701,9.66701
21.96278,-14.92995,135.00000,-13.63366,-4.09366
22.09481,-15.09164,135.00000,-14.71256,-18.85256
22.22758,-14.83480,135.00000,-1.75088,-20.65088
22.54695,-15.13984,135.00000,16.55924,-4.14076
22.67597,-15.33185,135.00000,16.84706,12.52706
22.87092,-15.37597,135.00000,2.66077,15.08077
23.04254,-15.70442,135.00000,-18.09486,-3.15486
23.41613,-15.41739,135.00000,-1.32646,-4.56646
23.53378,-15.44652,135.00000,-0.78207,-5.46207
23.65515,-15.50105,135.00000,-0.65700,-6.23700
23.78033,-15.46214,135.00000,0.18425,-6.11575
23.90299,-15.47688,135.00000,0.65248,-5.46752
24.02566,-15.46305,135.00000,0.79108,-4.78892
24.15680,-15.38178,135.00000,0.63507,-4.22493
24.29351,-15.32788,135.00000,0.63494,-3.68506
24.41874,-15.65267,135.00000,1.12112,-2.65888
24.54658,-16.88402,135.00000,0.78357,-1.91643
24.67305,-17.67528,135.00000,-3.44247,-5.42247
24.79442,-17.25529,135.00000,-5.89827,-11.47827
24.93488,-16.02970,135.00000,-5.82781,-17.34781
25.23565,-14.46802,135.00000,5.42593,-12.03407
25.35585,-14.68478,135.00000,6.53963,-5.52037
25.60604,-14.93924,135.00000,-3.94850,-9.52850
25.72396,-14.88564,135.00000,-3.85695,-13.39695
25.87760,-15.06069,135.00000,-2.11792,-15.61792
26.00213,-15.23429,135.00000,1.75769,-13.90231
26.14457,-15.29433,135.00000,4.58982,-9.45018
26.27478,-15.38979,135.00000,5.47254,-4.06746
26.40335,-15.49179,135.00000,1.47962,-2.66038
26.53053,-15.63914,135.00000,-4.00903,-6.70903
26.65281,-15.76299,135.00000,-6.53564,-13.37564
26.91125,-15.78591,135.00000,1.85413,-11.64587
27.04990,-15.84363,135.00000,2.92888,-8.77112
27.19252,-15.63778,135.00000,2.95976,-5.86024
27.31986,-15.64952,135.00000,0.23427,-5.70573
27.55484,-15.76085,135.00000,-3.14031,-8.90031
27.67744,-15.77323,135.00000,-3.27960,-12.27960
27.79574,-15.77698,135.00000,-2.44282,-14.86282
27.92013,-15.71818,135.00000,0.87269,-14.06731
28.05171,-15.61472,135.00000,5.10365,-9.11635
28.17210,-15.63347,135.00000,5.59836,-3.58164
28.29311,-15.75990,135.00000,1.96551,-1.63449
28.44374,-15.93632,135.00000,-4.28589,-6.08589
28.57086,-16.07951,135.00000,-6.79701,-12.91701
29.05242,-17.35515,135.00000,9.10511,-3.85489
29.17555,-16.98524,135.00000,10.92022,6.96022
29.30374,-16.85242,135.00000,5.51606,12.35606
29.42249,-16.90714,135.00000,-5.19000,7.05000
29.65381,-16.47040,135.00000,-5.52970,1.49030
29.77123,-16.03143,135.00000,-4.80858,-3.36858
30.02480,-15.91254,135.00000,8.48201,5.06201
30.15391,-15.95290,135.00000,9.06124,14.10124
30.42598,-16.10128,135.00000,-11.95114,2.08886
30.54685,-17.09901,135.00000,-16.82951,-14.84951
30.66997,-17.44274,135.00000,-4.83369,-19.77369
31.89212,-15.85459,135.00000,18.46118,-1.33882
32.02990,-15.58719,135.00000,16.01850,14.57850
34.75400,-12.68189,135.00000,-17.04624,-2.64624
34.90389,-11.98048,135.00000,-15.04313,-17.74313
36.11147,-10.27139,135.00000,9.80850,-8.01150
36.24042,-9.20626,135.00000,6.22146,-1.87854
36.47005,-7.53799,135.00000,-14.30286,-16.28286
36.59008,-7.66533,135.00000,-13.64962,-30.02962
36.95354,-7.55459,135.00000,15.70114,-14.35886
37.08331,-7.68300,135.00000,16.20473,1.80473
37.33045,-7.59426,135.00000,-14.17183,-12.37183
37.44708,-8.31557,135.00000,-15.97999,-28.39999
37.57000,-9.70169,135.00000,-0.61530,-29.05530
38.39640,-8.88011,135.00000,19.07272,-10.08728
38.52743,-7.03367,135.00000,17.31951,7.05951
39.65378,-11.13089,135.00000,-16.59745,-9.57745
39.77867,-11.13196,135.00000,-14.37591,-24.09591
39.90135,-10.39144,135.00000,0.13120,-23.98880
40.13394,-10.34021,135.00000,17.56581,-6.55419
40.25226,-10.03653,135.00000,17.16072,10.50072
