Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
1.76081,-2.62403,2.05714,-11.51084,-10.59430
1.88685,-3.39972,3.79541,-14.99517,-22.42037
2.01209,-3.67267,5.68416,-7.69858,-27.18602
2.13464,-4.55025,8.15068,4.79196,-22.01063
2.25835,-4.20216,10.12401,11.08966,-12.98616
2.37373,-2.72168,11.03899,7.65905,-7.82929
2.50029,-1.87967,11.57145,-0.82728,-9.55870
2.73174,-0.57613,11.38947,-7.59161,-16.15657
2.85915,-0.43409,11.53220,-7.83427,-22.10117
3.00670,-0.25856,11.44009,-2.71460,-23.66512
3.38458,0.33495,11.08485,5.88465,-18.58430
3.53124,0.51961,10.78405,5.97974,-14.22712
3.78031,0.73582,10.13349,-1.66949,-16.25915
3.90690,0.81103,9.57486,-2.52803,-18.34195
4.03752,0.95326,8.95576,-2.55672,-20.27967
4.16606,0.99434,8.40790,-0.78517,-20.80131
4.28987,1.00021,7.86921,1.41621,-19.66390
4.41104,1.18013,7.21954,1.62615,-18.56611
4.56454,1.27099,6.37455,1.53074,-17.57821
4.69418,1.24086,5.59278,1.45225,-16.55583
4.83022,1.15309,4.83254,0.81634,-15.98724
4.95610,1.02616,4.08972,-0.44605,-16.43095
5.08582,1.04400,3.52624,-1.30197,-17.58696
5.22733,1.01588,3.00475,-1.22549,-18.55472
5.36416,1.02606,2.45602,-1.19178,-19.61195
5.51149,1.09680,1.87518,-0.59798,-20.03616
5.65484,0.97978,1.14046,0.62972,-19.62258
5.79003,0.92933,0.61969,1.07455,-18.97104
5.91104,1.02308,0.02053,1.09808,-18.25525
6.07034,1.06455,-0.53569,1.12856,-17.51208
6.22335,1.12448,-1.10706,1.22068,-16.72005
6.35739,1.09534,-1.89538,0.87854,-16.09724
6.48789,1.01638,-2.66210,0.15548,-16.11682
6.61237,0.98763,-3.19164,-0.93243,-16.94868
6.73587,0.93562,-3.70395,-1.23370,-18.03869
6.89495,-0.15824,-3.62156,-3.36095,-20.79327
8.17672,-5.22321,-0.85867,-17.57324,-34.58137
8.32032,-5.25186,1.54765,-15.74079,-46.47952
8.69422,-5.24192,3.97039,13.03073,-35.85417
8.82891,-5.15445,6.35227,12.97022,-26.27439
9.18799,-5.01870,8.71196,-7.63338,-32.67777
9.31082,-5.01909,11.14956,-7.96985,-38.74823
9.44095,-4.98983,13.56337,-3.79005,-41.58972
9.70603,-4.82858,15.90599,6.40979,-36.63740
9.84066,-4.81218,18.06526,6.91803,-31.51599
9.96927,-4.82233,20.23167,3.77795,-28.94103
10.09776,-4.81830,22.38895,-1.60347,-30.34248
10.21836,-4.84648,24.56462,-4.45584,-33.84562
10.35352,-4.82983,26.71411,-4.98321,-37.77269
10.47988,-4.83272,28.87650,-1.91283,-39.14673
10.73426,-4.89461,31.07019,3.79436,-36.23473
10.87138,-4.92212,33.51232,3.93253,-33.40679
11.02307,-4.94865,35.95553,3.02986,-31.23217
11.17859,-4.91819,38.36773,0.44792,-31.05335
11.32604,-4.93117,40.80616,-2.14797,-32.81973
11.45347,-4.95970,43.25110,-2.33654,-34.69734
11.57947,-4.93116,45.66435,-2.21007,-36.39428
11.70928,-4.91680,48.08779,-0.43952,-36.82428
11.84171,-4.96373,50.54385,1.32071,-35.86487
11.97756,-4.96227,52.97107,1.19506,-35.10685
12.12843,-4.91814,55.37725,1.31865,-34.28796
12.34536,-4.91896,57.80951,1.33430,-33.37890
12.47635,-4.94765,60.25498,1.19363,-32.58816
12.60821,-4.96173,62.69142,0.52636,-32.38111
12.74430,-4.94599,65.11238,-0.47064,-32.77645
12.89186,-4.96022,67.55066,-0.90694,-33.63036
13.05281,-4.96016,69.98008,-1.03135,-34.43638
13.19116,-4.99042,72.42636,-1.60274,-35.77505
